,KEY,IS_BOX_INTERSECTING,IS_TIME_INTERSECTING,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,STATIONID,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
72,2017/04/06/KLWX/KLWX20170406_085440_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:54:40,2017-04-06 08:59:50
73,2017/04/06/KLWX/KLWX20170406_085949_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:59:49,2017-04-06 09:04:59
74,2017/04/06/KLWX/KLWX20170406_090458_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:04:58,2017-04-06 09:10:08
75,2017/04/06/KLWX/KLWX20170406_091006_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:10:06,2017-04-06 09:15:16
76,2017/04/06/KLWX/KLWX20170406_091515_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:15:15,2017-04-06 09:20:25
77,2017/04/06/KLWX/KLWX20170406_092024_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:20:24,2017-04-06 09:25:34
78,2017/04/06/KLWX/KLWX20170406_092601_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:26:01,2017-04-06 09:31:11
79,2017/04/06/KLWX/KLWX20170406_093138_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:31:38,2017-04-06 09:36:48
80,2017/04/06/KLWX/KLWX20170406_093646_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:36:46,2017-04-06 09:41:56
81,2017/04/06/KLWX/KLWX20170406_094155_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:41:55,2017-04-06 09:47:05
82,2017/04/06/KLWX/KLWX20170406_094704_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:47:04,2017-04-06 09:52:14
83,2017/04/06/KLWX/KLWX20170406_095212_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:52:12,2017-04-06 09:57:22
84,2017/04/06/KLWX/KLWX20170406_095721_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 09:57:21,2017-04-06 10:02:31
85,2017/04/06/KLWX/KLWX20170406_100229_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:02:29,2017-04-06 10:07:39
86,2017/04/06/KLWX/KLWX20170406_100835_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:08:35,2017-04-06 10:13:45
