,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
60,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C07_G16_s20172050012187_e20172050014571_c20172050015008.nc,0,4.479451999999999,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:12:18,2017-07-24 00:14:57
61,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C07_G16_s20172050017187_e20172050019571_c20172050020010.nc,0,4.473339,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:17:18,2017-07-24 00:19:57
62,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C07_G16_s20172050022187_e20172050024571_c20172050025010.nc,0,4.4673859999999985,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:22:18,2017-07-24 00:24:57
63,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C07_G16_s20172050027187_e20172050029571_c20172050030008.nc,0,4.459384,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:27:18,2017-07-24 00:29:57
64,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C07_G16_s20172050032187_e20172050034571_c20172050035009.nc,0,4.453887,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:32:18,2017-07-24 00:34:57
65,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C07_G16_s20172050037187_e20172050039571_c20172050040001.nc,0,4.447494,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:37:18,2017-07-24 00:39:57
66,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C07_G16_s20172050042187_e20172050044570_c20172050045008.nc,0,4.4418099999999985,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:42:18,2017-07-24 00:44:57
67,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C07_G16_s20172050047187_e20172050049571_c20172050050009.nc,0,4.434802,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:47:18,2017-07-24 00:49:57
68,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C07_G16_s20172050052187_e20172050054571_c20172050055008.nc,0,4.4296050000000005,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:52:18,2017-07-24 00:54:57
69,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C07_G16_s20172050057187_e20172050059571_c20172050100008.nc,0,4.423374,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:57:18,2017-07-24 00:59:57
70,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C08_G16_s20172050012187_e20172050014559_c20172050015000.nc,0,3.680742,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:12:18,2017-07-24 00:14:55
71,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C08_G16_s20172050017187_e20172050019559_c20172050020001.nc,0,3.679261,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:17:18,2017-07-24 00:19:55
72,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C08_G16_s20172050022187_e20172050024559_c20172050025001.nc,0,3.677117,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:22:18,2017-07-24 00:24:55
73,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C08_G16_s20172050027187_e20172050029559_c20172050030000.nc,0,3.6752260000000003,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:27:18,2017-07-24 00:29:55
